982,Almonds (ground),ground almond,0.83,./datasets/guardian-2.csv
983,Almonds (whole),almond,0.71,./datasets/guardian-2.csv
984,"Basil (whole, inc stalk)",basil,3.33,./datasets/guardian-2.csv
985,Basil (whole leaves),basil,6.67,./datasets/guardian-2.csv
986,Basil (chopped),chopped basil,2.5,./datasets/guardian-2.csv
987,Breadcrumbs (dried),dried breadcrumb,1.18,./datasets/guardian-2.csv
988,Breadcrumbs (fresh),fresh breadcrumb,1.67,./datasets/guardian-2.csv
989,Buckwheat flour,buckwheat flour,0.74,./datasets/guardian-2.csv
990,Bulgur wheat,bulgur wheat,0.5,./datasets/guardian-2.csv
991,Butter (cubed),diced butter,0.67,./datasets/guardian-2.csv
992,Butter (softened or melted),butter,0.44,./datasets/guardian-2.csv
993,Cashews (whole),cashew,0.74,./datasets/guardian-2.csv
994,"Cheese (cheddar, grated)",grated cheddar,1,./datasets/guardian-2.csv
995,"Cheese (feta, broken into chunks)",diced feta,0.67,./datasets/guardian-2.csv
996,"Cheese (mozzarella, grated)",grated mozzarella,0.8,./datasets/guardian-2.csv
997,"Cheese (parmesan, grated)",grated parmesan,1.18,./datasets/guardian-2.csv
998,Cherry tomatoes (whole),cherry tomato,0.67,./datasets/guardian-2.csv
999,Chickpea (gram) flour,gram flour,0.8,./datasets/guardian-2.csv
1000,Chives (chopped),chopped chive,2.5,./datasets/guardian-2.csv
1001,Chives (whole),chive,3.33,./datasets/guardian-2.csv
1002,Chocolate (broken into chunks),diced chocolate,0.63,./datasets/guardian-2.csv
1003,Chocolate chips,chocolate chip,0.57,./datasets/guardian-2.csv
1004,Cocoa powder (Dutch-processed),cocoa powder,1.05,./datasets/guardian-2.csv
1005,Coconut (desiccated),desiccated coconut,1.33,./datasets/guardian-2.csv
1006,Coconut chips,coconut chip,2,./datasets/guardian-2.csv
1007,Coconut milk,coconut milk,0.44,./datasets/guardian-2.csv
1008,Coriander (chopped),chopped coriander,2.5,./datasets/guardian-2.csv
1009,"Coriander (whole, inc stalk)",coriander,3.33,./datasets/guardian-2.csv
1010,Coriander (whole leaves),coriander,6.67,./datasets/guardian-2.csv
1011,Corn kernels (defrosted/canned),sweetcorn kernel,0.57,./datasets/guardian-2.csv
1012,Cornmeal (fine),fine cornmeal,0.67,./datasets/guardian-2.csv
